cncode_id,cncode,cncode_active,commodity_id
353,0207 42 80,1,9
354,0207 44 10,1,9
355,0207 44 21,1,9
356,0207 44 31,1,9
357,0207 44 41,1,9
358,0207 44 51,1,9
359,0207 44 61,1,9
360,0207 44 71,1,9
361,0207 44 81,1,9
362,0207 44 99,1,9
363,0207 45 10,1,9
364,0207 45 21,1,9
365,0207 45 31,1,9
366,0207 45 41,1,9
367,0207 45 51,1,9
368,0207 45 61,1,9
369,0207 45 81,1,9
370,0207 45 99,1,9
371,0207 51 10,1,9
372,0207 51 90,1,9
373,0207 52 90,1,9
374,0207 54 10,1,9
375,0207 54 21,1,9
376,0207 54 31,1,9
377,0207 54 41,1,9
378,0207 54 51,1,9
379,0207 54 61,1,9
380,0207 54 71,1,9
381,0207 54 81,1,9
382,0207 54 99,1,9
383,0207 55 10,1,9
384,0207 55 21,1,9
385,0207 55 31,1,9
386,0207 55 41,1,9
387,0207 55 51,1,9
388,0207 55 61,1,9
389,0207 55 81,1,9
390,0207 55 99,1,9
391,0207 60 05,1,9
392,0207 60 10,1,9
393,0207 60 21 10,1,9
394,0207 60 31,1,9
395,0207 60 41,1,9
396,0207 60 51,1,9
397,0207 60 61,1,9
398,0207 60 81,1,9
399,0207 60 99,1,9
400,0210 99 39 10,1,9
401,ex0210 99 39,1,9
402,1602 31 11,1,9
403,1602 31 19,1,9
404,1602 31 80,1,9
405,1602 32 11,1,9
406,1602 32 19,1,9
407,1602 32 30,1,9
408,1602 32 90,1,9
409,1602 39 21,1,9
410,1602 39 29,1,9
411,1602 39 85,1,9
412,1602 39 85 10,1,9
413,1602 39 85 90,1,9
